##var,  cirError, zhouError
0.000000, 0.046549, 0.037678
0.500000, 0.049334, 0.039523
1.000000, 0.074296, 0.070316
1.500000, 0.066228, 0.061217
2.000000, 0.059264, 0.055910
2.500000, 0.056611, 0.049909
3.000000, 0.055557, 0.049931
3.500000, 0.057624, 0.047995
4.000000, 0.058154, 0.040468
4.500000, 0.060676, 0.043429
5.000000, 0.066592, 0.061769
5.500000, 0.092125, 0.068938
6.000000, 0.094322, 0.079740
6.500000, 0.118454, 0.096509
7.000000, 0.130195, 0.123072
7.500000, 0.137916, 0.146611
8.000000, 0.132689, 0.128863
8.500000, 0.119764, 0.118562
9.000000, 0.141361, 0.133116
9.500000, 0.159446, 0.150324
