##var,  cirError, zhouError
0.000000, 0.140581, 0.136476
0.500000, 0.146657, 0.140137
1.000000, 0.312201, 0.314211
1.500000, 0.365987, 0.381002
2.000000, 0.309883, 0.323042
2.500000, 0.314649, 0.304280
3.000000, 0.289777, 0.278059
3.500000, 0.259502, 0.259861
4.000000, 0.289629, 0.263943
4.500000, 0.280735, 0.243820
5.000000, 0.303796, 0.264547
5.500000, 0.323002, 0.267571
6.000000, 0.408915, 0.335256
6.500000, 0.582379, 0.472660
7.000000, 0.947592, 1.079262
7.500000, 1.684878, 1.264177
8.000000, 1.955979, 1.895064
8.500000, 2.673342, 2.488148
9.000000, 2.920738, 2.770882
9.500000, 3.394941, 3.363601
